Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;5BZQJ1159-2142;FSRQ;179,83929;-21,71247;0,617;3,52E+20;12,8;-11,6;12,7;0,3;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;11,5;-0,26;12,9;0,4;-11,62;-12,15;-11,09
No;3FGL J1159.6-0723;;179,88251;-7,39896;;2,91E+20;;;15,2;0,3;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 4 arcseconds, vmag=100.0;;;;;;;
Yes;5BZQJ1159+2914;FSRQ;179,88263;29,24550;0,729;1,63E+20;12,8;-11,1;12,8;0,4;;No possible source for confusion within 20 arcseconds;35,1;-0,31;12,9;0,4;-10,66;-11,64;-10,10
No;5BZQJ1159-2148;FSRQ;179,96629;-21,81492;0,927;3,45E+20;;;12,5;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 11 arcseconds;;;;;;;
No;87GB 115739.6+021927;;180,05145;2,03570;;1,59E+20;;;15,4;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 3 arcseconds, vmag=100.0;;;;;;;
Yes;3FGL J1200.8+1228;;180,16679;12,51756;;1,74E+20;13,3;-12,1;13,7;0,5;;No possible source for confusion within 20 arcseconds;4,5;-0,30;12,9;0,4;-12,02;-12,32;-11,67
No;5BZGJ1200+4758;;180,19501;47,97453;0,270;2,23E+20;;;16,0;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 4 arcseconds, vmag=100.0;1,1;;;;;;
No;3HSPJ120055.1-143040;BL Lac;180,22963;-14,51103;0,480;4,04E+20;;;16,2;0,7;;No possible source for confusion within 20 arcseconds;2,1;0,53;15,6;0,4;-12,22;-12,39;-12,08
Yes;3FGL J1200.9+2010;;180,23798;20,14572;;2,48E+20;12,7;-12,6;12,7;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZGJ1201-0007;;180,27579;-0,11711;0,165;2,11E+20;16,3;-12,6;16,3;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 9 arcseconds, vmag=100.0;1,1;;;;;;
No;2MASS J12011113-0332;;180,29640;-3,53877;;2,72E+20;;;13,4;0,5;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;2,1;0,42;15,2;0,4;-11,86;-12,02;-11,69
No;5BZQJ1201+0900;FSRQ;180,36417;9,01120;1,016;1,38E+20;;;14,6;0,4;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
No;3HSPJ120136.0-060734;BL Lac;180,40018;-6,12619;;2,01E+20;;;15,5;0,3;Not enough flux variability. ;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,3;;;;;;
No;5BZGJ1201-0011;;180,43192;-0,18722;0,164;2,05E+20;;;16,2;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 9 arcseconds;;;;;;;
Yes;OM 198;;180,43445;14,52679;;2,62E+20;12,9;-12,0;13,1;0,4;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;6,0;-0,40;12,7;0,4;-12,00;-12,35;-11,57
No;3HSPJ120205.8+283326;BL Lac;180,52405;28,55728;0,379;1,70E+20;;;16,0;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 9 arcseconds, vmag=16.6;1,3;;;;;;
No;5BZBJ1202+4444;BL Lac;180,53609;44,73958;0,297;1,16E+20;;;15,1;0,5;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,8;0,73;16,4;0,4;-11,59;-11,72;-11,48
No;5BZQJ1202+2756;FSRQ;180,64166;27,94056;0,672;1,64E+20;;;14,0;0,9;Not enough flux variability. ;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,2;;;;;;
No;5BZQJ1202-0528;FSRQ;180,64259;-5,46736;0,381;2,22E+20;;;12,9;0,5;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;1,5;-0,46;12,7;0,4;-11,19;-11,28;-11,12
Yes;5BZBJ1202+3851;BL Lac;180,73775;38,86317;;1,65E+20;13,7;-12,2;14,8;0,5;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;2,9;0,03;13,7;0,4;-12,17;-12,39;-11,92
Yes;5BZBJ1203+6031;BL Lac;180,76462;60,52197;0,065;2,06E+20;14,1;-11,4;14,5;0,4;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;2,4;0,89;17,0;0,4;-10,61;-10,80;-10,42
No;4FGL J1202.9+5141;;180,77965;51,67516;0,063;1,80E+20;;;15,7;1,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;TXS 1200+115;;180,80409;11,30482;;1,71E+20;12,8;-12,5;12,9;0,3;;Possible confusing source at distance of 6 arcseconds, vmag=100.0;3,1;-0,51;12,6;0,4;-12,56;-12,74;-12,25
No;3HSPJ120317.9-392621;BL Lac;180,82454;-39,43914;0,280;6,95E+20;;;16,2;0,9;;No possible source for confusion within 20 arcseconds;1,5;0,87;17,0;0,4;-11,45;-11,56;-11,39
Yes;5BZQJ1203+4803;FSRQ;180,87437;48,05378;0,817;1,89E+20;12,7;-11,8;14,9;0,8;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,3;-0,46;12,7;0,4;-11,75;-11,80;-11,68
No;5BZBJ1203+5430;BL Lac;180,88196;54,50247;0,478;1,09E+20;;;15,2;0,8;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,4;0,67;16,2;0,4;-11,97;-12,06;-11,90
No;NVWJ1203.8+3049;;180,88240;30,81730;;1,47E+20;;;13,3;0,5;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;2,6;0,33;14,9;0,4;-12,06;-12,26;-11,85
No;5BZQJ1203+4510;FSRQ;180,89751;45,18045;1,075;1,25E+20;;;15,2;0,3;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
No;NVWJ1203.0+5957;;180,96320;59,96290;;1,64E+20;;;15,7;0,6;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,3;0,40;15,1;0,4;-12,00;-12,08;-11,95
Yes;5BZBJ1203+5819;BL Lac;180,98058;58,32931;;1,45E+20;14,0;-12,5;14,0;0,5;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;3,3;0,46;15,4;0,4;-11,96;-12,21;-11,69
No;4FGL J1204.4+3750;;181,01285;37,97731;;1,46E+20;;;15,0;0,8;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZBJ1204+1145;BL Lac;181,05049;11,76539;0,296;2,30E+20;16,9;-11,7;16,9;0,5;;No possible source for confusion within 20 arcseconds;2,1;1,05;17,5;0,0;-11,46;0,00;0,00
Yes;5BZGJ1204-0710;;181,06943;-7,16914;0,184;2,09E+20;15,2;-11,7;15,2;0,2;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,8;1,08;17,5;0,0;-10,82;0,00;0,00
No;NVWJ1204.5+3627;;181,07010;36,45170;;2,15E+20;;;15,2;0,6;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,1;;;;;;
Yes;3HSPJ120440.3+503928;BL Lac;181,16800;50,65772;0,700;1,62E+20;15,2;-13,4;15,2;0,5;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 2 arcseconds, vmag=100.0;;;;;;;
No;3HSPJ120444.8-032144;BL Lac;181,18671;-3,36231;0,700;2,39E+20;;;16,1;0,5;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3FGL J1205.4+0412;;181,21532;4,13725;;1,52E+20;;;12,7;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;;;;;;;
No;3HSPJ120454.1+533038;BL Lac;181,22545;53,51042;0,402;1,37E+20;;;16,5;0,5;Not enough flux variability. Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
No;5BZQJ1204-5055;FSRQ;181,24545;-50,93239;1,083;1,29E+21;;;13,7;0,9;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,6;-0,60;12,5;0,4;-12,34;-12,43;-12,23
Yes;5BZQJ1205-2634;FSRQ;181,38838;-26,56792;0,789;7,83E+20;12,6;-11,9;12,5;0,4;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,9;-0,64;12,4;0,4;-11,60;-11,73;-11,46
Yes;SDSS J120542.82+3321;;181,42845;33,36305;;1,39E+20;13,3;-12,6;13,3;0,5;;Possible confusing source at distance of 3 arcseconds, vmag=17.2;2,0;0,91;17,1;0,4;-11,66;-11,81;-11,52
No;3HSPJ120543.3+582934;BL Lac;181,43030;58,49267;0,400;1,41E+20;;;15,1;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZQJ1205+0053;FSRQ;181,45204;0,89553;0,932;1,88E+20;12,5;-12,5;13,7;1,1;;No possible source for confusion within 20 arcseconds;1,4;-0,60;12,5;0,4;-12,49;-12,55;-12,41
No;5BZQJ1206+2822;FSRQ;181,58188;28,38183;1,507;1,78E+20;;;15,3;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 17 arcseconds;;;;;;;
No;4C +04.40;;181,58304;4,10335;;1,47E+20;;;12,7;0,5;Flux too close to background. ;Possible confusing source at distance of 4 arcseconds, vmag=100.0;1,3;;;;;;
Yes;5BZBJ1206+0529;BL Lac;181,74179;5,49783;;1,43E+20;12,9;-12,5;12,8;0,5;;No possible source for confusion within 20 arcseconds;2,1;-0,15;13,1;0,4;-12,50;-12,62;-12,30
Yes;5BZBJ1207+1715;BL Lac;181,79153;17,26369;;3,54E+20;13,6;-12,3;15,4;0,6;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;4,6;0,00;13,6;0,4;-12,26;-12,59;-11,92
No;5BZBJ1207-1746;;181,79793;-17,76833;0,700;4,59E+20;;;16,7;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;;;;;;;
Yes;5BZQJ1207+1211;FSRQ;181,80258;12,19606;0,892;1,80E+20;12,5;-12,4;12,5;0,5;Flux too close to background. ;No possible source for confusion within 20 arcseconds;1,7;;;;;;
No;1RXS J120722.5-05244;;181,84375;-5,41167;;3,01E+20;;;15,4;0,8;;No possible source for confusion within 20 arcseconds;2,2;-0,51;12,6;0,4;-12,52;-12,73;-12,39
Yes;5BZQJ1207+2754;FSRQ;181,86624;27,91633;2,180;1,67E+20;12,4;-12,4;12,4;0,5;;No possible source for confusion within 20 arcseconds;1,4;-0,63;12,5;0,4;-12,39;-12,44;-12,31
Yes;NVSS J120738-223250;;181,90443;-22,50986;;4,04E+20;14,4;-12,2;14,4;0,5;;Possible confusing source at distance of 9 arcseconds, vmag=100.0;2,9;0,42;15,2;0,4;-11,71;-11,90;-11,44
No;3FGL J1207.6-2232;;181,90880;-22,54751;;4,11E+20;;;13,1;1,0;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 17 arcseconds;;;;;;;
Yes;5BZQJ1207-0106;FSRQ;181,92368;-1,11019;1,006;1,83E+20;13,8;-12,1;13,8;0,5;;Possible confusing source at distance of 9 arcseconds, vmag=100.0;19,4;-0,30;12,9;0,4;-11,61;-12,44;-11,15
No;3FGL J1207.6-4537;;181,92581;-45,50494;;6,88E+20;;;14,6;0,9;;Possible confusing source at distance of 5 arcseconds, vmag=100.0;1,8;0,54;15,7;0,4;-12,30;-12,43;-12,17
Yes;3HSPJ120744.7+314851;BL Lac;181,93608;31,81428;0,670;1,31E+20;17,3;-12,1;17,3;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZBJ1208+3015;BL Lac;182,01801;30,26400;0,330;1,54E+20;15,1;-12,5;15,1;0,6;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;2,5;0,71;16,4;0,4;-11,95;-12,12;-11,72
No;ATLAS-RFC;;182,02312;25,23729;;1,83E+20;;;14,7;0,4;Not enough IR data measurements to provide a Wpeak prediction.;;;;;;;;
Yes;5BZBJ1208-2937;BL Lac;182,07504;-29,63331;0,249;4,47E+20;16,7;-12,4;16,7;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 20 arcseconds;1,2;;;;;;
Yes;3FGL J1208.2-7810;;182,07648;-78,16351;;8,20E+20;13,7;-12,5;13,7;1,0;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;2,6;-0,19;13,0;0,4;-12,06;-12,28;-11,87
No;NVWJ1208.5+3529;;182,10740;35,49970;;1,42E+20;;;15,3;0,5;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,6;0,32;14,8;0,4;-12,02;-12,15;-11,95
Yes;5BZUJ1208+6121;;182,15462;61,35181;0,275;1,93E+20;15,0;-12,3;15,8;0,8;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,4;1,01;17,5;0,0;-11,29;0,00;0,00
No;5BZBJ1208+1159;BL Lac;182,15529;11,99383;0,369;1,80E+20;;;13,7;0,5;;No possible source for confusion within 20 arcseconds;3,2;0,44;15,3;0,4;-11,57;-11,83;-11,32
No;3HSPJ120850.7+452951;BL Lac;182,21104;45,49755;0,654;1,21E+20;;;16,2;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;;;;;;;
Yes;5BZQJ1208+5441;FSRQ;182,22604;54,69947;1,343;1,20E+20;12,5;-12,0;12,6;0,3;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;10,1;-0,69;12,4;0,4;-11,96;-12,57;-11,57
No;NVSS J120856-175647;;182,23651;-17,94640;;4,74E+20;;;14,5;0,5;;Possible confusing source at distance of 6 arcseconds, vmag=100.0;1,7;-0,29;12,9;0,4;-12,42;-12,53;-12,31
Yes;NVSS J120900-275350;;182,25082;-27,89736;;7,16E+20;14,4;-12,2;14,4;0,3;;Possible confusing source at distance of 9 arcseconds, vmag=100.0;3,1;0,22;14,5;0,4;-12,15;-12,36;-11,87
Yes;5BZQJ1209-2406;FSRQ;182,26021;-24,10578;1,299;7,95E+20;12,3;-11,9;12,3;0,4;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;1,8;-0,72;12,4;0,4;-11,94;-12,07;-11,81
Yes;3HSPJ120905.2-462948;BL Lac;182,27162;-46,49678;;7,56E+20;15,9;-12,5;15,9;0,5;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;1,6;0,66;16,1;0,4;-12,12;-12,20;-12,01
No;5BZBJ1209-2032;BL Lac;182,31088;-20,54417;0,404;4,27E+20;;;12,7;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,3;0,99;17,4;0,4;-11,89;-11,96;-11,83
Yes;5BZBJ1209+4119;BL Lac;182,34496;41,32817;;1,54E+20;13,9;-11,6;14,1;0,6;;Possible confusing source at distance of 9 arcseconds, vmag=100.0;2,0;0,00;13,6;0,4;-11,58;-11,73;-11,44
Yes;2MASS J12093020+7609;;182,37616;76,15332;;4,17E+20;14,4;-11,8;14,3;0,3;;No possible source for confusion within 20 arcseconds;2,5;0,23;14,5;0,4;-11,82;-12,07;-11,67
No;5BZQJ1209-4016;FSRQ;182,39684;-40,27031;0,966;7,81E+20;;;13,2;0,8;Not enough flux variability. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,2;;;;;;
No;5BZBJ1209+0210;BL Lac;182,40967;2,17144;0,291;1,61E+20;;;16,1;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 11 arcseconds;;;;;;;
Yes;5BZQJ1209+2547;FSRQ;182,43788;25,78436;1,435;1,65E+20;12,8;-12,4;12,9;0,6;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,7;-0,75;12,3;0,4;-12,27;-12,35;-12,13
Yes;5BZQJ1209+1810;FSRQ;182,46567;18,16855;0,846;2,60E+20;12,9;-12,0;13,0;0,5;;No possible source for confusion within 20 arcseconds;5,5;-0,46;12,7;0,4;-11,96;-12,30;-11,56
No;5BZGJ1210+0223;;182,57379;2,39544;0,383;1,50E+20;;;16,2;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,1;;;;;;
Yes;5BZBJ1210+3929;BL Lac;182,61113;39,48583;0,617;2,05E+20;17,3;-12,1;17,3;0,5;Not enough flux variability. Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,3;;;;;;
No;3HSPJ121038.3-252714;BL Lac;182,65971;-25,45383;0,470;6,93E+20;;;16,3;0,4;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,7;0,17;14,2;0,4;-12,69;-12,80;-12,57
Yes;PMN J1211-3754;;182,75729;-37,92194;;6,32E+20;13,0;-12,5;13,1;0,8;;There are no confusing sources at this position. The closest object is located at 16 arcseconds;4,6;-0,25;12,9;0,4;-12,49;-12,75;-12,08
No;3HSPJ121129.0-072240;BL Lac;182,87071;-7,37769;0,280;3,22E+20;;;16,0;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,4;1,35;17,5;0,0;-11,57;0,00;0,00
No;5BZBJ1211+3900;BL Lac;182,89267;39,01495;0,600;2,03E+20;;;17,1;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;;;;;;;
Yes;NVSS J121135-273615;;182,89917;-27,60443;;6,11E+20;13,0;-12,5;13,1;0,4;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;11,1;-0,43;12,7;0,4;-12,05;-12,42;-11,37
Yes;5BZBJ1211+2242;BL Lac;182,99449;22,70900;0,453;2,45E+20;17,6;-11,6;17,6;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,6;1,08;17,5;0,0;-11,81;0,00;0,00
